id,raw_path,artist,date,venue,city,state,collection,status,ia_identifier,ia_collection,source,notes
800913_Rowan_and_Logan,Dave W Flacs/800913_Rowan_and_Logan.flac,Rowan and Logan,1980-09-13,,,,Dave Ward Collection,todo,,,,
820206_Bill_Monroe_Plus_switchesto44,Dave W Flacs/820206_Bill_Monroe_Plus_switches to 44.flac,Bill Monroe Plus switches to 44,1982-02-06,,,,Dave Ward Collection,todo,,,,
870521_Seldom_Scene_1,Dave W Flacs/870521_Seldom_Scene_1.flac,Seldom Scene,1987-05-21,,,,Dave Ward Collection,todo,,,,
870521_Seldom_Scene_2,Dave W Flacs/870521_Seldom_Scene_2.flac,Seldom Scene,1987-05-21,,,,Dave Ward Collection,todo,,,,
880124_Superpickers_,Dave W Flacs/880124_Superpickers_.flac,Superpickers,1988-01-24,,,,Dave Ward Collection,todo,,,,
hotrize1988-06-18,Dave W Flacs/880618_Hot_Rize.flac,Hot Rize,1988-06-18,,,,Dave Ward Collection,todo,,,,
901206_Superpickers,Dave W Flacs/901206_Superpickers.flac,Superpickers,1990-12-06,,,,Dave Ward Collection,todo,,,,
910224_tony_Rice_Unit,Dave W Flacs/910224_tony_Rice_Unit.flac,tony Rice Unit,1991-02-24,,,,Dave Ward Collection,todo,,,,
910324_Krauss_and_Union_Station,Dave W Flacs/910324_Krauss_and_Union_Station.flac,Krauss and Union Station,1991-03-24,,,,Dave Ward Collection,todo,,,,
920118_Barrenburg_Bush_Douglas_Meyer,Dave W Flacs/920118_Barrenburg_Bush_Douglas_Meyer.flac,Barrenburg Bush Douglas Meyer,1992-01-18,,,,Dave Ward Collection,todo,,,,
920425_Rice_Rowan,Dave W Flacs/920425_Rice_Rowan.flac,Rice Rowan,1992-04-25,,,,Dave Ward Collection,todo,,,,
hotrize1992-07-18,Dave W Flacs/920718_Hot_Rize.flac,Hot Rize,1992-07-18,,,,Dave Ward Collection,todo,,,,
920729_TRU_990508_Douglas_981003_Rowan_Bush_Douglas,Dave W Flacs/920729_TRU_990508_Douglas_981003_Rowan_Bush_Douglas.flac,TRU 990508 Douglas 981003 Rowan Bush Douglas,1992-07-29,,,,Dave Ward Collection,todo,,,,
930904_Bela_Flecktones,Dave W Flacs/930904_Bela_Flecktones.flac,Bela Flecktones,1993-09-04,,,,Dave Ward Collection,todo,,,,
940320_Tony_Rice_Unit,Dave W Flacs/940320_Tony_Rice_Unit.flac,Tony Rice Unit,1994-03-20,,,,Dave Ward Collection,todo,,,,
hotrize1994-08-06,Dave W Flacs/940806_Hot_Rize.flac,Hot Rize,1994-08-06,,,,Dave Ward Collection,todo,,,,
950318_Buddy_Guy,Dave W Flacs/950318_Buddy_Guy.flac,Buddy Guy,1995-03-18,,,,Dave Ward Collection,todo,,,,
950324_Seldom_Scene,Dave W Flacs/950324_Seldom_Scene.flac,Seldom Scene,1995-03-24,,,,Dave Ward Collection,todo,,,,
950327_Tim_OBrien_and_Friends,Dave W Flacs/950327_Tim_OBrien_and_Friends.flac,Tim OBrien and Friends,1995-03-27,,,,Dave Ward Collection,todo,,,,
los1995-07-03,Brian H Flacs/950703_LOS_plus_Box_Set.flac,Leftover Salmon,1995-07-03,,,,Brian H Collection,todo,,,,
950715_Tim_Obrien_and_FriendsWinterhawkAllStarJam,Dave W Flacs/950715_Tim_Obrien_and_Friends+Winterhawk All Star Jam.flac,Tim Obrien and Friends+Winterhawk All Star Jam,1995-07-15,,,,Dave Ward Collection,todo,,,,
951014_Acoustic_Super_Jam,Dave W Flacs/951014_Acoustic_Super_Jam.flac,Acoustic Super Jam,1995-10-14,,,,Dave Ward Collection,todo,,,,
960331_Widespread_Panic_I,Dave W Flacs/960331_Widespread_Panic_I.flac,Widespread Panic,1996-03-31,,,,Dave Ward Collection,todo,,,,
hotrize1996-06-09,Dave W Flacs/960609_Hot_Rize.flac,Hot Rize,1996-06-09,,,,Dave Ward Collection,already_uploaded,hotrize1996-06-09,taperssection,,
960811_Rowan_Douglas_etal_910324_AKAUS,Dave W Flacs/960811_Rowan_Douglas_etal_910324_AKAUS.flac,Rowan Douglas etal 910324 AKAUS,1996-08-11,,,,Dave Ward Collection,todo,,,,
961109_Grisman_Quintet_950430_Grisman_Rice,Dave W Flacs/961109_Grisman_Quintet_950430_Grisman_Rice.flac,Grisman Quintet 950430 Grisman Rice,1996-11-09,,,,Dave Ward Collection,todo,,,,
los1997-05-07,"Dave W Flacs/970507_LOS_I.flac
Dave W Flacs/970507_LOS_II.flac",Leftover Salmon,1997-05-07,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
970808_Rowan_Vassar,Dave W Flacs/970808_Rowan_Vassar.flac,Rowan Vassar,1997-08-08,,,,Dave Ward Collection,todo,,,,
971220_Rowan_Grisman,Dave W Flacs/971220_Rowan_Grisman.flac,Rowan Grisman,1997-12-20,,,,Dave Ward Collection,todo,,,,
980326_Doc_Dawg-32K,Brian H Flacs/980326_Doc_Dawg-32K.flac,Doc Dawg 32K,1998-03-26,,,,Brian H Collection,todo,,,,
jcb1998-04-19,Dave W Flacs/980419_JCB_980419_Douglas.flac,John Cowan,1998-04-19,,,,Dave Ward Collection,todo,,,,
980424_HR_Rowan_Guy-Darrell_OBrien-Band_Merlefest,Dave W Flacs/980424_HR_Rowan_Guy-Darrell_OBrien-Band_Merlefest.flac,HR Rowan Guy Darrell OBrien Band Merlefest,1998-04-24,,,,Dave Ward Collection,todo,,,,
hotrize1998-06-20,Dave W Flacs/980620_Hot_Rize.flac,Hot Rize,1998-06-20,,,,Dave Ward Collection,todo,,,,
980925_Cowan_Electric_Band,Dave W Flacs/980925_Cowan_Electric_Band.flac,Cowan Electric Band,1998-09-25,,,,Dave Ward Collection,todo,,,,
981016_Rowan,Dave W Flacs/981016_Rowan.flac,Rowan,1998-10-16,,,,Dave Ward Collection,todo,,,,
981023_OBrien_IBMA,Dave W Flacs/981023_OBrien_IBMA.flac,OBrien IBMA,1998-10-23,,,,Dave Ward Collection,todo,,,,
981024_Flatheads,Dave W Flacs/981024_Flatheads.flac,Flatheads,1998-10-24,,,,Dave Ward Collection,todo,,,,
981029_Cowan_Acoustic_Band,Dave W Flacs/981029_Cowan_Acoustic_Band.flac,Cowan Acoustic Band,1998-10-29,,,,Dave Ward Collection,todo,,,,
jcb1998-11-20,Dave W Flacs/981120_JCB_Acoustic.flac,John Cowan,1998-11-20,,,,Dave Ward Collection,todo,,,,
los1998-12-08,Dave W Flacs/981208_LOS.flac,Leftover Salmon,1998-12-08,,,,Dave Ward Collection,todo,,,,
los1998-12-09,Dave W Flacs/981209_LOS.flac,Leftover Salmon,1998-12-09,,,,Dave Ward Collection,todo,,,,
jcb1999-01-09,"Dave W Flacs/990109_JCB_DJ_Superstore.flac
Dave W Flacs/990109_JCB_Bomhard_Theater.flac",John Cowan,1999-01-09,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
990116_Obrien_Band,Dave W Flacs/990116_Obrien_Band.flac,Obrien Band,1999-01-16,,,,Dave Ward Collection,todo,,,,
jcb1999-01-30,Dave W Flacs/990130_JCB.flac,John Cowan,1999-01-30,,,,Dave Ward Collection,todo,,,,
jcb1999-02-12,Dave W Flacs/990212_JCB.flac,John Cowan,1999-02-12,,,,Dave Ward Collection,todo,,,,
